scenario,topology,tier_index,tier_name,mars_base_latency_s,blackout_duration_s,seed,pre_success,pre_total,during_success,during_total,post_success,post_total,avg_latency_s,first_post_blackout_s,earth_local_success,earth_local_total,mars_local_success,mars_local_total
blackout_only,sparse,2,leo,186.0,900.0,51,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,51,5,5,8,8,21,21,0.186403,62.583927,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,51,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,51,5,5,7,7,20,20,5.129040,6.696857,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,51,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,51,5,5,8,8,21,21,0.181831,62.538164,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,52,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,52,5,5,7,7,20,20,5.130372,6.684343,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,52,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,52,5,5,8,8,21,21,0.182947,62.533212,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,52,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,52,5,5,7,7,20,20,5.128715,6.705056,1778,1778,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,52,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,52,5,5,8,8,21,21,0.181777,62.566766,1778,1778,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,53,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,53,5,5,7,7,20,20,5.131225,6.731419,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,53,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,53,5,5,8,8,21,21,0.180916,62.562709,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,53,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,53,5,5,7,7,20,20,5.131229,6.687109,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,53,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,53,5,5,8,8,21,21,0.183039,62.520455,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,54,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,54,5,5,7,7,20,20,5.127845,6.665007,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,54,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,54,5,5,8,8,21,21,0.183120,62.589823,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,54,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,54,5,5,7,7,20,20,5.130230,6.694573,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,54,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,54,5,5,8,8,21,21,0.184451,62.520485,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,55,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,55,5,5,7,7,20,20,5.131022,6.705536,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,55,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,55,5,5,8,8,21,21,0.180719,62.534923,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,55,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,55,5,5,7,7,20,20,5.132839,6.687882,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,55,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,55,5,5,8,8,21,21,0.182334,62.561180,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,56,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,56,5,5,7,7,20,20,5.131178,6.721294,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,56,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,56,5,5,8,8,21,21,0.182419,62.566487,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,56,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,56,5,5,7,7,20,20,5.131556,6.665539,1778,1778,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,56,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,56,5,5,8,8,21,21,0.182972,62.570775,1778,1778,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,57,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,57,5,5,7,7,20,20,5.132196,6.715155,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,57,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,57,5,5,8,8,21,21,0.182659,62.534214,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,57,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,57,5,5,7,7,20,20,5.131610,6.734228,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,57,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,57,5,5,8,8,21,21,0.181680,62.562627,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,58,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,58,5,5,7,7,20,20,5.130533,6.733896,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,58,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,58,5,5,8,8,21,21,0.183019,62.536065,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,58,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,58,5,5,7,7,20,20,5.132120,6.723386,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,58,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,58,5,5,8,8,21,21,0.184774,62.577695,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,59,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,59,5,5,7,7,20,20,5.130814,6.736764,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,59,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,59,5,5,8,8,21,21,0.181162,62.510812,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,59,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,59,5,5,7,7,20,20,5.131974,6.731985,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,59,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,59,5,5,8,8,21,21,0.181056,62.538396,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,60,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,60,5,5,7,7,20,20,5.128712,6.690965,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,60,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,60,5,5,8,8,21,21,0.183353,62.573371,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,60,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,60,5,5,7,7,20,20,5.131702,6.703954,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,60,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,60,5,5,8,8,21,21,0.181674,62.530735,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,61,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,61,5,5,7,7,20,20,5.131393,6.700384,1778,1778,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,61,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,61,5,5,8,8,21,21,0.182567,62.544356,1778,1778,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,61,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,61,5,5,7,7,20,20,5.131882,6.742314,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,61,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,61,5,5,8,8,21,21,0.184709,62.588232,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,62,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,62,5,5,7,7,20,20,5.131602,6.708200,1778,1778,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,62,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,62,5,5,8,8,21,21,0.180138,62.496103,1778,1778,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,62,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,62,5,5,7,7,20,20,5.130933,6.704409,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,62,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,62,5,5,8,8,21,21,0.181336,62.525546,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,63,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,63,5,5,7,7,20,20,5.130676,6.714281,1778,1778,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,63,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,63,5,5,8,8,21,21,0.185218,62.625075,1778,1778,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,63,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,63,5,5,7,7,20,20,5.128183,6.695428,1778,1778,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,63,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,63,5,5,8,8,21,21,0.183732,62.575253,1778,1778,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,64,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,64,5,5,7,7,20,20,5.132704,6.731914,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,64,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,64,5,5,8,8,21,21,0.182900,62.594178,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,64,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,64,5,5,7,7,20,20,5.131013,6.717647,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,64,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,64,5,5,8,8,21,21,0.183305,62.599690,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,65,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,65,5,5,7,7,20,20,5.130280,6.692878,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,65,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,65,5,5,8,8,21,21,0.184723,62.577215,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,65,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,65,5,5,7,7,20,20,5.132861,6.754130,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,65,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,65,5,5,8,8,21,21,0.183313,62.569660,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,66,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,66,5,5,7,7,20,20,5.131511,6.723204,1778,1778,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,66,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,66,5,5,8,8,21,21,0.183777,62.567039,1778,1778,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,66,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,66,5,5,7,7,20,20,5.131804,6.692088,1778,1778,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,66,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,66,5,5,8,8,21,21,0.180403,62.532348,1778,1778,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,67,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,67,5,5,7,7,20,20,5.133109,6.766728,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,67,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,67,5,5,8,8,21,21,0.183069,62.518837,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,67,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,67,5,5,7,7,20,20,5.132442,6.721950,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,67,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,67,5,5,8,8,21,21,0.183709,62.587961,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,68,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,68,5,5,7,7,20,20,5.129615,6.701774,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,68,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,68,5,5,8,8,21,21,0.182821,62.515957,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,68,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,68,5,5,7,7,20,20,5.130716,6.677080,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,68,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,68,5,5,8,8,21,21,0.181086,62.532170,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,69,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,69,5,5,7,7,20,20,5.131715,6.766673,1777,1777,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,69,0,1,0,2,0,3,,,1777,1777,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,69,5,5,8,8,21,21,0.182654,62.579776,1777,1777,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,69,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,69,5,5,7,7,20,20,5.132707,6.726839,1777,1777,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,69,0,1,0,2,0,3,,,1777,1777,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,69,5,5,8,8,21,21,0.180479,62.501418,1777,1777,1980,1980
blackout_only,sparse,0,mars,186.0,900.0,70,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,1,moon,186.0,900.0,70,5,5,7,7,20,20,5.132607,6.750399,1778,1778,1980,1980
blackout_only,sparse,2,leo,186.0,900.0,70,0,1,0,2,0,3,,,1778,1778,1980,1980
blackout_only,sparse,3,earth,186.0,900.0,70,5,5,8,8,21,21,0.183186,62.610398,1778,1778,1980,1980
with_repeater,sparse,0,mars,186.0,900.0,70,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,1,moon,186.0,900.0,70,5,5,7,7,20,20,5.132420,6.744420,1778,1778,1980,1980
with_repeater,sparse,2,leo,186.0,900.0,70,0,1,0,2,0,3,,,1778,1778,1980,1980
with_repeater,sparse,3,earth,186.0,900.0,70,5,5,8,8,21,21,0.183120,62.572495,1778,1778,1980,1980
