scenario,topology,tier_index,tier_name,mars_base_latency_s,blackout_duration_s,seed,pre_success,pre_total,during_success,during_total,post_success,post_total,transition_success,transition_total,phase_timeout_s,pre_window_s,post_window_s,temporally_scaled,avg_latency_s,first_post_blackout_s,earth_local_success,earth_local_total,mars_local_success,mars_local_total
with_repeater,sparse,2,leo,186.0,300.0,54,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
with_repeater,sparse,3,earth,186.0,300.0,54,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.182230,67.173140,1935,1935,2155,2155
blackout_only,sparse,0,mars,186.0,300.0,55,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
blackout_only,sparse,1,moon,186.0,300.0,55,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.133197,1.441144,1935,1935,2155,2155
blackout_only,sparse,2,leo,186.0,300.0,55,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
blackout_only,sparse,3,earth,186.0,300.0,55,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.180170,67.157408,1935,1935,2155,2155
with_repeater,sparse,0,mars,186.0,300.0,55,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
with_repeater,sparse,1,moon,186.0,300.0,55,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.131186,1.451432,1935,1935,2155,2155
with_repeater,sparse,2,leo,186.0,300.0,55,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
with_repeater,sparse,3,earth,186.0,300.0,55,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.182545,67.198929,1935,1935,2155,2155
blackout_only,sparse,0,mars,186.0,300.0,56,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
blackout_only,sparse,1,moon,186.0,300.0,56,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.132118,1.472420,1935,1935,2155,2155
blackout_only,sparse,2,leo,186.0,300.0,56,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
blackout_only,sparse,3,earth,186.0,300.0,56,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.181751,67.141645,1935,1935,2155,2155
with_repeater,sparse,0,mars,186.0,300.0,56,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
with_repeater,sparse,1,moon,186.0,300.0,56,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.131436,1.467899,1935,1935,2155,2155
with_repeater,sparse,2,leo,186.0,300.0,56,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
with_repeater,sparse,3,earth,186.0,300.0,56,8,8,3,3,26,26,0,0,500.000000,955.000000,3100.000000,0,0.183742,67.191574,1935,1935,2155,2155
blackout_only,sparse,0,mars,186.0,300.0,57,0,1,0,0,0,2,0,1,500.000000,955.000000,3100.000000,1,,,1935,1935,2155,2155
blackout_only,sparse,1,moon,186.0,300.0,57,8,8,2,2,24,24,1,1,500.000000,955.000000,3100.000000,0,5.132989,1.454101,1935,1935,2155,2155
blackout_only,sparse,2,leo,186.0,300.0,57,0,1,0,0,0,4,0,2,500.000000,955.000000,3100.000000,0,,,1935,1935,2155,2155
