scenario,mars_base_latency_s,blackout_start_s,blackout_duration_s,sim_end_s,reconcile_interval_s,global_timeout_s,global_max_rounds,seed,earth_success,earth_total,mars_success,mars_total,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,first_success_after_blackout_s,avg_global_latency_s,earth_local_avg_latency_s,earth_local_p95_latency_s,mars_local_avg_latency_s,mars_local_p95_latency_s,global_phase1_responses_earth,global_phase1_responses_leo,global_phase1_responses_moon,global_phase1_responses_mars,global_phase2_responses_earth,global_phase2_responses_leo,global_phase2_responses_moon,global_phase2_responses_mars,network_src_sent_earth,network_src_sent_leo,network_src_sent_moon,network_src_sent_mars,network_src_avg_oneway_s_earth,network_src_avg_oneway_s_leo,network_src_avg_oneway_s_moon,network_src_avg_oneway_s_mars
blackout_only,750.0,600.0,300.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,0,1,0,1,0,4,,,0.251075,0.263783,0.021062,0.022672,35,7,7,9,0,0,0,0,35645,7,7,23775,0.371135,0.018188,1.280772,0.287614
with_repeater,750.0,600.0,300.0,4000.0,120.0,500.0,1,43,1777,1777,1980,1980,0,1,1,1,0,4,183.288377,463.278377,0.251191,0.263652,0.021052,0.022641,35,7,7,15,5,1,1,3,35660,8,8,23781,0.454538,0.020542,1.282085,0.443845
blackout_only,750.0,600.0,300.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,0,1,0,1,0,4,,,0.251284,0.264817,0.021053,0.022585,35,7,7,9,0,0,0,0,35645,7,7,23775,0.371034,0.021321,1.279925,0.288166
with_repeater,750.0,600.0,300.0,4000.0,120.0,500.0,1,44,1777,1777,1980,1980,0,1,1,1,0,4,192.687803,472.677803,0.251087,0.263916,0.021075,0.022664,35,7,7,15,5,1,1,3,35660,8,8,23781,0.454480,0.020588,1.282164,0.441469
blackout_only,750.0,600.0,900.0,4000.0,120.0,500.0,1,40,1777,1777,1980,1980,0,1,0,2,0,3,,,0.250958,0.263665,0.021053,0.022618,35,7,7,6,0,0,0,0,35651,7,7,23772,0.307637,0.021669,1.279758,0.192927
with_repeater,750.0,600.0,900.0,4000.0,120.0,500.0,1,40,1777,1777,1980,1980,0,1,2,2,0,3,186.451447,473.220723,0.251103,0.263854,0.021043,0.022684,35,7,7,15,10,2,2,6,35675,9,9,23784,0.431786,0.019772,1.282044,0.408490
blackout_only,750.0,600.0,900.0,4000.0,120.0,500.0,1,41,1777,1777,1980,1980,0,1,0,2,0,3,,,0.251286,0.263881,0.021071,0.022714,35,7,7,6,0,0,0,0,35645,7,7,23772,0.307545,0.021823,1.273070,0.192751
with_repeater,750.0,600.0,900.0,4000.0,120.0,500.0,1,41,1778,1778,1980,1980,0,1,2,2,0,3,179.069362,469.529681,0.250681,0.263880,0.021041,0.022636,35,7,7,15,10,2,2,6,35695,9,9,23784,0.431999,0.020488,1.281259,0.408847
blackout_only,750.0,600.0,900.0,4000.0,120.0,500.0,1,42,1777,1777,1980,1980,0,1,0,2,0,3,,,0.251070,0.264072,0.021099,0.022625,35,7,7,6,0,0,0,0,35645,7,7,23772,0.307977,0.020543,1.280423,0.192416
with_repeater,750.0,600.0,900.0,4000.0,120.0,500.0,1,42,1777,1777,1980,1980,0,1,2,2,0,3,190.285550,475.137775,0.250999,0.263264,0.021103,0.022695,35,7,7,15,10,2,2,6,35675,9,9,23784,0.431545,0.019653,1.281515,0.408199
