scenario,mars_base_latency_s,blackout_start_s,blackout_duration_s,sim_end_s,reconcile_interval_s,global_timeout_s,global_max_rounds,seed,earth_success,earth_total,mars_success,mars_total,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,phase_timeout_s,pre_window_s,post_window_s,temporally_scaled,first_success_after_blackout_s,avg_global_latency_s,earth_local_avg_latency_s,earth_local_p95_latency_s,mars_local_avg_latency_s,mars_local_p95_latency_s,global_phase1_responses_earth,global_phase1_responses_leo,global_phase1_responses_moon,global_phase1_responses_mars,global_phase2_responses_earth,global_phase2_responses_leo,global_phase2_responses_moon,global_phase2_responses_mars,network_src_sent_earth,network_src_sent_leo,network_src_sent_moon,network_src_sent_mars,network_src_avg_oneway_s_earth,network_src_avg_oneway_s_leo,network_src_avg_oneway_s_moon,network_src_avg_oneway_s_mars
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,52,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,208.619110,381.193893,0.250552,0.263514,0.021070,0.022633,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304680,0.020652,1.278283,0.362749
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,53,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,741.497786,369.869623,0.251213,0.263775,0.021078,0.022659,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271045,0.020226,1.277553,0.285634
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,53,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,233.281265,384.849546,0.250838,0.263692,0.021096,0.022644,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304464,0.018819,1.279421,0.364863
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,54,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,728.145062,367.271950,0.250674,0.263060,0.021058,0.022630,45,9,9,21,35,7,7,18,38720,16,16,25761,0.270681,0.019225,1.280566,0.285102
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,54,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,217.254651,382.059935,0.250958,0.263655,0.021075,0.022664,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304653,0.019740,1.282683,0.363128
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,55,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,737.914728,368.904875,0.250798,0.263460,0.021063,0.022611,45,9,9,21,35,7,7,18,38720,16,16,25761,0.272050,0.020319,1.279693,0.284947
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,55,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,187.306012,377.811630,0.250770,0.263354,0.021044,0.022624,45,9,9,24,40,8,8,24,38735,17,17,25767,0.305789,0.020234,1.278433,0.361301
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,56,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,741.360906,370.161506,0.251214,0.263591,0.021081,0.022722,45,9,9,21,35,7,7,18,38720,16,16,25761,0.272124,0.019772,1.280360,0.285751
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,56,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,227.011996,383.661213,0.251107,0.263775,0.021081,0.022626,45,9,9,24,40,8,8,24,38735,17,17,25767,0.305555,0.020991,1.280724,0.363460
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,57,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,740.596551,370.965689,0.250978,0.263452,0.021045,0.022652,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271963,0.019725,1.279595,0.285413
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,57,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,212.351829,380.758255,0.250919,0.263545,0.021055,0.022698,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304213,0.019611,1.281100,0.362176
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,58,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,732.895773,368.391123,0.250904,0.264022,0.021096,0.022799,45,9,9,21,35,7,7,18,38720,16,16,25761,0.272768,0.020081,1.281916,0.285743
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,58,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,213.863494,382.346954,0.250640,0.263305,0.021109,0.022710,45,9,9,24,40,8,8,24,38735,17,17,25767,0.305155,0.019390,1.282858,0.363205
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,59,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,744.521859,370.310596,0.250913,0.263848,0.021072,0.022647,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271887,0.019731,1.279113,0.286186
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,59,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,187.650244,377.035957,0.250947,0.263656,0.021080,0.022699,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304518,0.019500,1.279802,0.360360
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,60,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,736.288523,368.195427,0.251029,0.263642,0.021057,0.022606,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271557,0.021630,1.281024,0.285342
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,60,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,234.220913,382.534769,0.250920,0.263768,0.021029,0.022517,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304970,0.020897,1.281481,0.363111
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,61,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,730.543218,368.760212,0.251257,0.263416,0.021062,0.022624,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271951,0.019498,1.282459,0.286005
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,61,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,225.246276,382.988447,0.250988,0.264014,0.021080,0.022683,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304185,0.019416,1.280375,0.364038
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,62,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,737.812689,368.041772,0.250957,0.263510,0.021064,0.022670,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271701,0.020784,1.282286,0.285405
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,62,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,223.760260,381.174915,0.251038,0.264042,0.021065,0.022676,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304524,0.020083,1.279280,0.361454
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,63,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,732.943409,369.599374,0.251007,0.263872,0.021070,0.022667,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271633,0.020091,1.277102,0.285414
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,63,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,227.251861,381.557843,0.250820,0.263434,0.021056,0.022642,45,9,9,24,40,8,8,24,38735,17,17,25767,0.303529,0.020190,1.280013,0.364253
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,64,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,741.949644,370.701729,0.251124,0.263182,0.021039,0.022651,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271951,0.019608,1.279282,0.285196
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,64,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,214.974748,380.191658,0.251301,0.263634,0.021043,0.022591,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304253,0.018892,1.278420,0.362666
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,65,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,737.881144,368.169156,0.251028,0.263313,0.021087,0.022691,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271749,0.020329,1.281965,0.285677
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,65,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,229.113740,381.815910,0.250850,0.263694,0.021096,0.022782,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304835,0.020780,1.282176,0.363585
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,66,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,728.249879,366.374926,0.251102,0.263209,0.021057,0.022682,45,9,9,21,35,7,7,18,38720,16,16,25761,0.271345,0.019966,1.280803,0.285238
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,66,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,210.329283,380.808591,0.251112,0.263346,0.021095,0.022699,45,9,9,24,40,8,8,24,38735,17,17,25767,0.303820,0.020104,1.279634,0.361882
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,67,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,733.988767,368.530642,0.251006,0.264155,0.021062,0.022736,45,9,9,21,35,7,7,18,38720,16,16,25761,0.272249,0.019396,1.280149,0.284655
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,67,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,219.045882,383.472872,0.251051,0.263624,0.021079,0.022728,45,9,9,24,40,8,8,24,38735,17,17,25767,0.305422,0.020845,1.278192,0.363618
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,68,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,742.786797,368.024934,0.250888,0.264117,0.021078,0.022702,45,9,9,21,35,7,7,18,38720,16,16,25761,0.272056,0.020562,1.282361,0.286300
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,68,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,221.487230,381.170641,0.251073,0.263781,0.021098,0.022689,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304181,0.020377,1.279725,0.362600
blackout_only,186.0,600.0,300.0,4000.0,120.0,500.0,1,69,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,732.475965,368.007833,0.250976,0.263792,0.021034,0.022655,45,9,9,21,35,7,7,18,38720,16,16,25761,0.272126,0.020482,1.279654,0.286094
with_repeater,186.0,600.0,300.0,4000.0,120.0,500.0,1,69,1924,1924,2143,2143,2,2,0,0,5,5,500.000000,930.000000,3100.000000,1,226.463179,383.001898,0.251141,0.264610,0.021076,0.022750,45,9,9,24,40,8,8,24,38735,17,17,25767,0.304851,0.018648,1.280354,0.363603
