scenario,mars_base_latency_s,global_timeout_s,blackout_duration_s,seed,global_pre_success,global_pre_total,global_during_success,global_during_total,global_post_success,global_post_total,global_during_rate,global_post_rate,first_success_after_blackout_s,avg_global_latency_s
with_repeater,186.0,120.0,300.0,71,5,5,3,3,26,26,1.000000,1.000000,61.670685,0.184394
blackout_only,186.0,120.0,300.0,72,5,5,3,3,26,26,1.000000,1.000000,61.640195,0.183086
with_repeater,186.0,120.0,300.0,72,5,5,3,3,26,26,1.000000,1.000000,61.667000,0.186023
blackout_only,186.0,120.0,300.0,73,5,5,3,3,26,26,1.000000,1.000000,61.657798,0.182856
with_repeater,186.0,120.0,300.0,73,5,5,3,3,26,26,1.000000,1.000000,61.648520,0.184247
blackout_only,186.0,120.0,300.0,74,5,5,3,3,26,26,1.000000,1.000000,61.689779,0.184317
with_repeater,186.0,120.0,300.0,74,5,5,3,3,26,26,1.000000,1.000000,61.663608,0.183289
blackout_only,186.0,120.0,300.0,75,5,5,3,3,26,26,1.000000,1.000000,61.650488,0.183006
with_repeater,186.0,120.0,300.0,75,5,5,3,3,26,26,1.000000,1.000000,61.649980,0.181233
blackout_only,186.0,120.0,300.0,76,5,5,3,3,26,26,1.000000,1.000000,61.659861,0.182251
with_repeater,186.0,120.0,300.0,76,5,5,3,3,26,26,1.000000,1.000000,61.669595,0.185238
blackout_only,186.0,120.0,300.0,77,5,5,3,3,26,26,1.000000,1.000000,61.653030,0.183404
with_repeater,186.0,120.0,300.0,77,5,5,3,3,26,26,1.000000,1.000000,61.662236,0.184638
blackout_only,186.0,120.0,300.0,78,5,5,3,3,26,26,1.000000,1.000000,61.648782,0.184061
with_repeater,186.0,120.0,300.0,78,5,5,3,3,26,26,1.000000,1.000000,61.665988,0.184383
blackout_only,186.0,120.0,300.0,79,5,5,3,3,26,26,1.000000,1.000000,61.597870,0.179755
with_repeater,186.0,120.0,300.0,79,5,5,3,3,26,26,1.000000,1.000000,61.591585,0.180248
blackout_only,186.0,120.0,300.0,80,5,5,3,3,26,26,1.000000,1.000000,61.627996,0.181407
with_repeater,186.0,120.0,300.0,80,5,5,3,3,26,26,1.000000,1.000000,61.626589,0.185389
blackout_only,186.0,120.0,300.0,81,5,5,3,3,26,26,1.000000,1.000000,61.645233,0.184600
with_repeater,186.0,120.0,300.0,81,5,5,3,3,26,26,1.000000,1.000000,61.635976,0.180793
blackout_only,186.0,120.0,300.0,82,5,5,3,3,26,26,1.000000,1.000000,61.631293,0.182478
with_repeater,186.0,120.0,300.0,82,5,5,3,3,26,26,1.000000,1.000000,61.650747,0.180505
blackout_only,186.0,120.0,300.0,83,5,5,3,3,26,26,1.000000,1.000000,61.653199,0.181724
with_repeater,186.0,120.0,300.0,83,5,5,3,3,26,26,1.000000,1.000000,61.649688,0.183936
blackout_only,186.0,120.0,300.0,84,5,5,3,3,26,26,1.000000,1.000000,61.668793,0.182349
with_repeater,186.0,120.0,300.0,84,5,5,3,3,26,26,1.000000,1.000000,61.653646,0.183071
blackout_only,186.0,120.0,300.0,85,5,5,3,3,26,26,1.000000,1.000000,61.649772,0.185462
with_repeater,186.0,120.0,300.0,85,5,5,3,3,26,26,1.000000,1.000000,61.653898,0.183711
blackout_only,186.0,120.0,300.0,86,5,5,3,3,26,26,1.000000,1.000000,61.641664,0.181629
with_repeater,186.0,120.0,300.0,86,5,5,3,3,26,26,1.000000,1.000000,61.673532,0.184139
blackout_only,186.0,120.0,300.0,87,5,5,3,3,26,26,1.000000,1.000000,61.675672,0.184623
with_repeater,186.0,120.0,300.0,87,5,5,3,3,26,26,1.000000,1.000000,61.652501,0.185587
blackout_only,186.0,120.0,300.0,88,5,5,3,3,26,26,1.000000,1.000000,61.655034,0.181892
with_repeater,186.0,120.0,300.0,88,5,5,3,3,26,26,1.000000,1.000000,61.661871,0.183131
blackout_only,186.0,120.0,300.0,89,5,5,3,3,26,26,1.000000,1.000000,61.661685,0.182207
with_repeater,186.0,120.0,300.0,89,5,5,3,3,26,26,1.000000,1.000000,61.653406,0.182067
blackout_only,186.0,120.0,900.0,40,5,5,8,8,21,21,1.000000,1.000000,62.625137,0.182841
with_repeater,186.0,120.0,900.0,40,5,5,8,8,21,21,1.000000,1.000000,62.561123,0.183027
blackout_only,186.0,120.0,900.0,41,5,5,8,8,21,21,1.000000,1.000000,62.590758,0.185924
with_repeater,186.0,120.0,900.0,41,5,5,8,8,21,21,1.000000,1.000000,62.566105,0.182593
blackout_only,186.0,120.0,900.0,42,5,5,8,8,21,21,1.000000,1.000000,62.548207,0.184348
with_repeater,186.0,120.0,900.0,42,5,5,8,8,21,21,1.000000,1.000000,62.562120,0.182034
blackout_only,186.0,120.0,900.0,43,5,5,8,8,21,21,1.000000,1.000000,62.575585,0.182442
with_repeater,186.0,120.0,900.0,43,5,5,8,8,21,21,1.000000,1.000000,62.568334,0.182572
blackout_only,186.0,120.0,900.0,44,5,5,8,8,21,21,1.000000,1.000000,62.566697,0.182778
with_repeater,186.0,120.0,900.0,44,5,5,8,8,21,21,1.000000,1.000000,62.549783,0.183653
blackout_only,186.0,120.0,900.0,45,5,5,8,8,21,21,1.000000,1.000000,62.524791,0.180993
with_repeater,186.0,120.0,900.0,45,5,5,8,8,21,21,1.000000,1.000000,62.570753,0.182996
blackout_only,186.0,120.0,900.0,46,5,5,8,8,21,21,1.000000,1.000000,62.489228,0.181696
with_repeater,186.0,120.0,900.0,46,5,5,8,8,21,21,1.000000,1.000000,62.566069,0.184075
blackout_only,186.0,120.0,900.0,47,5,5,8,8,21,21,1.000000,1.000000,62.616698,0.184974
with_repeater,186.0,120.0,900.0,47,5,5,8,8,21,21,1.000000,1.000000,62.550415,0.182606
